Contig,SCQ,WFS,PL,XHBW,SSG,XXZ,DK,LMW,ZGE,BC,FJC,TGDQ,LK,LJ,KL,HHKSD,HHK
ViromevOTU162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU168,969.1588249,790.4945401,53.9854381,0,0,244.5795583,191.9519098,100.7780293,0,45.03579522,59.55858931,53.092692,68.74038377,3364.566271,4757.372492,3362.155,613.3800291
ViromevOTU169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU175,0,0,0,0,0,0,0,0,45.55903585,0,0,0,44.66619171,0,0,0,0
ViromevOTU176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU184,48.14445716,0,0,0,71.38573091,46.38291364,37.43568981,44.58148005,0,0,0,0,0,0,0,0,0
ViromevOTU185,0,0,0,0,0,0,0,0,0,0,0,0,42.06759521,0,0,0,0
ViromevOTU186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU189,0,0,0,0,0,0,0,0,44.2180771,0,0,0,200.1203604,0,0,69.48085759,157.6246374
ViromevOTU190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU195,0,0,281.6990934,0,231.9592975,0,217.2176561,260.5092728,83.70744998,0,0,0,0,0,0,0,0
ViromevOTU196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.0176449,0,0
ViromevOTU201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
