Family	MDW	SCQ	WFS	PL	XHBW	SSG	XXZ	DK	LMW	ZGE	BC	FJC	TGDQ	LK	LJ	KL	HHK	HHKSD	TYQ	HL	KSH	WHBJ	SWD	BMS	LNCS	QLP	WSQS	MD	SCQ	WFS	PL	XHBW	SSG	XXZ	DK	LMW	ZGE	BC	FJC	TGDQ	LK	LJ	KL	HHK	HHKSD	TYQ	HL	KSH	WHBJ	SWD	BMS	LNCS	QLP	WSQS	MDS	SCQ	WFS	PL	XHBW	SSG	XXZ	DK	LMW	ZGE	BC	FJC	TGDQ	LK	LJ	KL	HHK	HHKSD	TYQ	HL	KSH	WHBJ	SWD	BMS	LNCS	QLP	WSQS
Asfarviridae	0	0	0.054628998	2.440061448	1.270960648	3.142499179	0.477193742	1.711538374	3.160541962	2.491968345	0	5.589319356	4.389222746	0.753630559	1.860493396	0.777146747	0.756855223	0	0.439878594	0	4.335160969	3.586156234	8.368468471	5.393367991	0	0.490631378	2.951357464	0	0	0	0	0	0	0	0	0	0.909752495	0	6.268405288	4.444887442	0	0	0	0	0	0	0	0	4.01373002	9.429651017	2.993467869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iridoviridae	8.024425755	9.247525005	7.346841927	7.386731494	8.051159202	8.225792289	6.803417925	7.228993518	8.175661359	12.95319785	11.4212793	9.275323149	8.12109094	7.722718971	8.385493138	8.180975811	8.9526706	7.968292798	9.785179276	5.339394897	8.31660724	10.77665213	7.815388595	9.376109412	9.696495707	7.197295477	6.744602916	0	4.952253116	4.780288359	4.895334897	5.700836974	4.916762843	2.546676447	5.298287399	2.932971378	12.69789799	11.20180579	3.87906266	7.59487791	9.361755949	3.48939287	5.17933708	7.598901353	5.07248354	6.679103865	8.302024557	6.19566575	11.42121247	8.085384086	10.51686416	2.676900874	5.140878001	9.386077368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marseilleviridae	0	0.282692751	0.051497166	0	0	0.530049108	1.709979158	2.709555078	6.153119553	9.944244854	2.073158901	0	3.629545088	5.429076906	5.622803083	5.62188975	6.072847926	6.118408289	0.065648521	0	1.094899821	0.794802887	3.165401854	6.977552327	1.034497739	6.534690961	3.676983922	0	0	0	0	0.300446113	0	0	0	0	8.954915818	10.3643225	1.509223013	0.974570606	2.971563034	0	0	1.373936982	0	0	0	0	1.405818634	0	4.787465121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mimiviridae	11.10564048	11.58130181	9.981067227	11.02153963	11.41012028	12.09866597	10.55608482	11.23679317	12.06467533	13.57927534	11.39241092	10.12196433	11.84881273	10.98900415	11.59702622	11.36980207	11.97104715	10.71741509	12.4099114	7.954333806	10.00493116	11.02044675	10.36823229	13.31875551	11.4219839	11.59282237	11.04239877	10.92915852	7.793476386	7.199373186	8.621689988	9.077664536	9.118452428	7.809951665	8.511249655	9.029546026	11.85786472	12.41864365	10.77585593	11.59479587	9.513122803	5.188647313	5.656397977	8.289318073	5.587085978	10.87743051	0.261960027	5.269477286	10.1150214	12.51595013	12.72711967	12.88757466	10.82594617	11.98051956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.448071408	0	0	0	0	0	0	0
Phycodnaviridae	11.65945253	12.65010822	11.65561324	13.14065324	13.50218249	14.05791737	12.47410528	12.57550775	13.34237173	15.02183608	11.57651034	11.32092999	12.82721069	11.0616327	11.50624528	11.21518683	11.80064884	10.58587306	13.29104055	8.007913604	10.29427438	8.313144057	11.33068147	14.38244652	11.99165874	12.22084112	12.30826659	12.53218197	10.6487187	9.739946072	11.4671489	11.23085646	11.02174134	9.969569831	10.600461	11.74981394	13.96398262	12.3849719	10.85790771	14.04518195	11.68943443	7.286407645	8.669063191	10.69469994	8.274550961	11.92823383	8.519460634	6.268110107	7.933026663	13.51801699	14.48151869	13.52671242	10.76059304	13.71757651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Poxviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.162425716	0	2.007583887	0.240243711	0	0	0	0	0	6.090736936	0	0	0	0	0	0	0.665786641	1.750100567	0	0	1.044109636	1.035655413	7.383005495	8.343998395	5.213236538	3.464354113	6.40943888	1.344991925	4.10738008	5.37911092	1.564263001	0	0	8.881543962	4.24475446	9.740705592	2.146261124	1.583396786	0.605729082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unclassified_Nucleocytoviricota	10.93236202	11.72860175	10.44615524	11.32977621	11.84392061	12.6048337	10.75293626	10.72265336	11.62194474	13.64645776	12.26030557	11.52448802	10.8648371	9.525212457	10.10309739	9.915337321	10.51535941	9.13310033	12.83455857	3.37267827	6.918432808	6.594483452	10.03322637	13.08228585	12.26582212	11.24281604	10.58305981	10.18063909	7.636100433	7.138940941	8.438719653	9.261068166	8.483077199	7.616266279	7.742153214	8.426313386	12.34097088	12.70706749	11.60980819	10.80101421	10.40222409	6.162510927	6.984593229	9.349382177	6.704727931	8.549416902	0	3.218807572	9.094738286	11.94478505	11.53049799	12.32695249	10.28425834	11.3496173	0	0	0	0	2.181275686	0.060846978	1.34238863	0	0	0	0	0.214619589	0	0	0	0	0	0	0	0	1.459739963	0	0	3.069022828	8.681315234	0	0
Herpesviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.773722383	0	0	0	0	0	0	0	0	0	5.998038865	5.443532784	0	7.026758721	6.405867274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adintoviridae	8.409082778	6.99606177	5.271555022	4.00314063	6.757622034	7.440181291	7.637111914	8.913732464	10.32591136	10.52005349	1.706053721	9.442520539	9.860822954	11.29554207	12.6091896	12.20143633	13.26019964	11.62238647	7.32983006	1.661006768	6.394325093	3.137951029	4.702782093	8.491643765	0	8.343996842	8.18848835	0	0	0	0	0	0	0	0	0	0	0	10.56379099	1.814940123	7.763012555	3.992302774	6.143230732	7.172962446	5.36299944	2.342430527	0	0.798388603	0.814234191	1.453079062	2.436338888	8.872299558	7.956626916	0	0	0	0	1.718577162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.37413839	0	0	0	0	0	0	0	0
Autolykiviridae	7.748942243	7.098520254	6.87667599	7.417253102	7.431562598	7.297175969	7.007972773	6.019320321	6.025565482	7.798384916	5.939199532	5.15840314	3.874361276	7.143320705	6.969440642	7.370809449	7.633704335	7.003840878	6.538022685	0	6.005428798	2.276752604	3.182429482	2.767470559	7.654758726	4.919017283	5.840451751	0	0	0	0	0	0	0	0	0	0	8.553784942	0	7.105388359	0	0	0	0	0	0	0	0	0.651056383	11.37378216	0	0	0	1.828423505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corticoviridae	0	0.918536516	0.93036091	1.186978962	0.353842187	1.373603789	3.90884176	6.25115994	6.495262288	8.847722862	8.682861494	8.194503246	0.404541259	6.650914444	4.611185605	5.263278023	5.215547913	4.789173069	0.291007923	8.393238589	2.121358477	0.006584066	0	0.324581878	7.734437928	11.32653529	6.004533714	8.090000792	0	0.455290336	0	0	2.134046517	7.535629248	8.571329572	10.73726305	8.782304646	0	11.53471689	0	6.560116069	7.297873908	7.119582933	6.861419111	8.762975474	0	0	1.334312492	0	0	0	0	8.282443359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lavidaviridae	12.57455487	11.96104671	10.94738654	11.45001904	11.21356514	11.34790487	9.380404424	9.480618689	10.74167857	12.19377192	11.44650043	11.66865938	11.46701756	9.957801128	10.22764278	9.854236706	10.23196462	9.215957612	12.38828282	2.730769094	7.593666391	3.138524019	11.71738775	11.84255435	10.46880924	11.74743318	8.922171184	12.98810499	9.320821934	10.20820506	11.64134007	10.41617002	10.10177346	8.12882488	8.920364154	9.387616028	11.84136319	11.12387496	12.27409748	11.63186706	11.42853074	7.522185241	9.113642597	10.37388827	8.960098856	13.34459261	4.077982603	7.269893126	9.525424164	13.11275923	11.67318346	15.70813702	12.02152378	10.66076065	0	0	0	0	0	0	0	0	0	0	0	0	0	5.365055592	4.325846648	4.569905178	4.769915809	5.424047846	0	0	0	0	0	0	0	0	5.595869965
Tectiviridae	0.193826513	7.228930462	7.245746343	7.298820092	7.223667812	7.318140943	6.504153735	6.196063502	5.756273701	6.870107078	5.052704771	0	2.318104295	2.707468538	3.294835034	2.924139708	2.117375344	2.21137292	1.268704955	0	4.006673161	0	0	0	7.727950531	0	6.051274198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unclassified_Preplasmiviricota	8.439658593	5.667091447	4.388582036	3.937370147	3.955118917	4.864427555	3.052484407	6.305710415	6.510736104	8.468733522	2.737200831	13.61346128	8.957816404	7.604635733	8.73579498	8.527208706	9.12242857	8.004115261	10.34297665	2.248563532	3.561774623	7.64988555	7.338937562	8.039373551	8.526143968	4.508948122	6.462717666	0	6.36296471	2.75106155	7.147819273	6.552823876	7.993929032	5.399648632	6.178265064	6.734650239	6.014036633	3.049462228	13.89649845	7.549592882	4.397073362	0.829504059	0.704133645	4.063727791	1.038314793	1.533130771	0	4.229669565	0	7.292682636	3.21924203	0	0	3.585009263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lipothrixviridae	0	0	0	0	0	0	0	0	0	0	5.611425759	0	1.720581042	0	0	0	0	0	0	0	0	5.186451821	4.311003542	2.154628695	11.02348502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.950413396	0	0	0	0	0	0	0	0	0	8.406361624	6.022619756	0	0.099618208	6.826406148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bicaudaviridae	0	0	0	0	0	0	0	0	0	0	0	3.157262443	7.560603315	5.873999829	6.624252174	6.205680406	7.167333862	5.566366311	0	0	0	0	8.300841	3.211277264	0	5.616491654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fuselloviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.781008027	0	0	0	0	0	0	2.602708947	0	0	0	0	2.426309149	0	0	0	0	0	5.935731132	2.252492968	5.414603534	8.977473043	2.118517141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hytrosaviridae	1.236299336	2.256375586	2.930489923	4.713824467	6.930012652	8.855611003	7.643666337	7.020172331	6.890836369	5.447266296	1.242381239	4.384877556	6.121571136	3.401882364	3.069825347	3.334221663	2.462954215	2.969599076	4.847644906	0.40961901	2.225013986	1.600007546	5.613233734	8.260389267	0.313564039	3.895487989	6.394684871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parvoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.922275789	0	7.754635668	0.941939399	0	0	0	0	0	0	3.123920698	0	0	0	0	0	0	0	0	12.3879561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Circoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.310608654	12.1891709	11.77870058	16.15763314	12.25943238	13.03683669	12.7267281	14.68751546	15.29306137	13.27402425	12.06303134	17.15005009	12.81513411	13.71176362	14.92801196	15.60311954	14.49659465	15.96804399	6.775963396	18.76800004	17.77942067	6.001864894	9.18866008	11.71374103	10.94956523	9.647032331	12.67864598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
