Contig,SCQ,WFS,PL,XHBW,SSG,XXZ,DK,LMW,ZGE,BC,FJC,TGDQ,LK,LJ,KL,HHKSD,HHK
SedimentvOTU82,0,0,0,0,0,0,0,0,0,0,0,0,557.0303226,290.533399,598.6772522,753.2691128,1376.870829
SedimentvOTU83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.74642071,172.8921399
SedimentvOTU84,0,0,0,0,0,0,0,0,0,0,0,0,562.8518443,350.2781442,410.4600655,647.5463166,575.1252732
SedimentvOTU85,0,0,0,0,0,0,0,0,0,0,0,0,55.04983447,0,55.54373129,88.0945146,154.0863391
SedimentvOTU86,0,0,0,0,0,0,0,0,0,0,0,0,0,38.06503431,74.09917286,80.5263158,204.6264329
SedimentvOTU87,0,0,0,0,0,0,0,0,0,0,0,0,262.7422924,127.137639,190.2336564,248.7282547,270.3139923
SedimentvOTU88,0,0,0,0,0,0,0,0,0,0,0,0,727.8840656,511.9706022,1208.161589,1215.564809,2457.41283
SedimentvOTU89,0,0,0,0,0,0,0,0,0,0,0,0,180.103369,141.4055212,236.1338144,385.7619745,265.3615568
SedimentvOTU90,0,0,0,0,0,0,0,0,0,0,0,0,143.6212369,54.61822602,123.2048835,136.9172704,271.3758101
SedimentvOTU91,0,0,0,0,0,0,0,0,0,0,0,0,161.9179405,88.63920094,141.7646206,223.1707274,453.8513224
SedimentvOTU92,0,0,0,0,0,0,0,0,0,0,0,0,212.0190209,136.3283439,238.9731308,271.8015959,530.9367295
SedimentvOTU93,0,0,0,0,0,0,0,0,0,0,0,0,68.4255584,41.30340187,53.01926595,86.61907252,147.9865939
SedimentvOTU94,0,0,0,0,0,0,0,0,0,0,0,0,230.6944669,238.7501699,296.3069616,477.8273226,271.4709412
SedimentvOTU95,0,0,0,0,0,0,0,0,0,0,0,0,81.32494748,58.64563374,81.47982973,105.3368056,176.5782972
SedimentvOTU96,0,0,0,0,0,0,0,0,0,0,0,0,91.80306064,59.20866565,97.93541821,133.2486665,201.8897673
SedimentvOTU97,0,0,0,0,0,0,0,0,0,0,0,0,50.97707305,45.23778636,73.27333028,82.97965293,201.6777633
SedimentvOTU98,0,0,0,0,0,0,0,0,0,0,0,0,68.57524112,41.27405935,76.36552132,89.46769061,167.7535344
SedimentvOTU99,0,0,0,0,0,0,0,0,0,0,0,0,48.05062102,46.82074636,73.13811999,88.37385966,222.8268423
SedimentvOTU100,0,0,0,0,0,0,0,0,0,0,0,0,38.9694425,0,56.86118395,43.47232031,143.794938
SedimentvOTU101,0,0,0,0,0,0,0,0,0,0,0,0,35.67174797,0,33.72106656,52.14059768,149.3266333
SedimentvOTU102,0,0,0,0,0,0,0,0,0,0,0,0,79.71678739,73.47490538,93.44713188,94.81212173,235.3220967
SedimentvOTU103,0,0,0,0,0,0,0,0,0,0,0,0,38.98538218,0,38.94389256,49.24574936,192.7288321
SedimentvOTU104,0,0,0,0,0,0,0,0,0,0,0,0,51.51346896,47.63417754,69.75210656,82.09309601,217.8311297
SedimentvOTU105,0,0,0,0,0,0,0,0,0,0,0,0,175.1038495,102.3247075,118.3799916,181.5508142,243.0880178
SedimentvOTU106,0,0,0,0,0,0,0,0,0,0,0,0,227.9915422,143.1330817,165.8574116,230.7907537,310.7679142
